Hash_Key1      Hash_Key2      Size
1              0              0              
2              0              0              
2              1              0              
3              0              0              
3              1              0              
3              2              0              
4              0              0              
4              1              0              
4              2              0              
4              3              1              
5              0              0              
5              1              0              
5              2              0              
5              3              1              
5              4              4              
6              0              0              
6              1              0              
6              2              0              
6              3              1              
6              4              4              
6              5              10             
7              0              0              
7              1              0              
7              2              0              
7              3              1              
7              4              4              
7              5              10             
7              6              20             
8              0              0              
8              1              0              
8              2              0              
8              3              1              
8              4              4              
8              5              10             
8              6              20             
8              7              35             
9              0              0              
9              1              0              
9              2              0              
9              3              1              
9              4              4              
9              5              10             
9              6              20             
9              7              35             
9              8              56             
10             0              0              
10             1              0              
10             2              0              
10             3              1              
10             4              4              
10             5              10             
10             6              20             
10             7              35             
10             8              56             
10             9              84             
11             0              0              
11             1              0              
11             2              0              
11             3              1              
11             4              4              
11             5              10             
11             6              20             
11             7              35             
11             8              56             
11             9              84             
11             10             120            
12             0              0              
12             1              0              
12             2              0              
12             3              1              
12             4              4              
12             5              10             
12             6              20             
12             7              35             
12             8              56             
12             9              84             
12             10             120            
12             11             165            
13             0              0              
13             1              0              
13             2              0              
13             3              1              
13             4              4              
13             5              10             
13             6              20             
13             7              35             
13             8              56             
13             9              84             
13             10             120            
13             11             165            
13             12             220            
14             0              0              
14             1              0              
14             2              0              
14             3              1              
14             4              4              
14             5              10             
14             6              20             
14             7              35             
14             8              56             
14             9              84             
14             10             120            
14             11             165            
14             12             220            
14             13             286            
15             0              0              
15             1              0              
15             2              0              
15             3              1              
15             4              4              
15             5              10             
15             6              20             
15             7              35             
15             8              56             
15             9              84             
15             10             120            
15             11             165            
15             12             220            
15             13             286            
15             14             364            
16             0              0              
16             1              0              
16             2              0              
16             3              1              
16             4              4              
16             5              10             
16             6              20             
16             7              35             
16             8              56             
16             9              84             
16             10             120            
16             11             165            
16             12             220            
16             13             286            
16             14             364            
16             15             455            
17             0              0              
17             1              0              
17             2              0              
17             3              1              
17             4              4              
17             5              10             
17             6              20             
17             7              35             
17             8              56             
17             9              84             
17             10             120            
17             11             165            
17             12             220            
17             13             286            
17             14             364            
17             15             455            
17             16             560            
18             0              0              
18             1              0              
18             2              0              
18             3              1              
18             4              4              
18             5              10             
18             6              20             
18             7              35             
18             8              56             
18             9              84             
18             10             120            
18             11             165            
18             12             220            
18             13             286            
18             14             364            
18             15             455            
18             16             560            
18             17             680            
19             0              0              
19             1              0              
19             2              0              
19             3              1              
19             4              4              
19             5              10             
19             6              20             
19             7              35             
19             8              56             
19             9              84             
19             10             120            
19             11             165            
19             12             220            
19             13             286            
19             14             364            
19             15             455            
19             16             560            
19             17             680            
19             18             816            
20             0              0              
20             1              0              
20             2              0              
20             3              1              
20             4              4              
20             5              10             
20             6              20             
20             7              35             
20             8              56             
20             9              84             
20             10             120            
20             11             165            
20             12             157            
20             13             222            
20             14             300            
20             15             391            
20             16             371            
20             17             488            
20             18             624            
20             19             777            
